PID,KICKER,KGRO,KNET,KTB,KR,KRY
363989,JH-0900,68,46,N,DH-2700,22
364003,JH-0900,60,30,N,XX-0000,0
364010,RG-1500,63,40,N,BM-2100,23
364020,JH-0900,61,43,N,DH-2700,18
364026,JH-0900,64,53,N,DH-2700,11
364049,RG-1500,67,53,N,BM-2100,14
364096,RG-1500,66,43,N,BM-2100,23
364121,RB-2200,67,42,N,WB-0700,25
364138,RB-2200,75,55,Y,XX-0000,0
364160,RB-2200,70,38,N,WB-0700,32
364168,MC-3000,67,39,N,CC-0700,28
364187,MC-3000,72,44,N,CC-0700,28
364193,RB-2200,70,30,N,JN-0900,40
364205,MC-3000,62,45,N,CC-0700,17
364232,RB-2200,70,50,Y,XX-0000,0
364241,MC-3000,63,48,N,CC-0700,15
364265,MC-3000,68,35,N,CC-0700,33
364287,MC-3000,71,48,N,CC-0700,23
364298,DC-0500,70,50,Y,XX-0000,0
364306,DC-0500,70,47,N,ER-0500,23
364322,DC-0500,72,45,N,ER-0500,27
364327,DC-0500,70,-25,N,ER-0500,95
364332,MP-2100,70,50,Y,XX-0000,0
364379,DC-0500,57,39,N,AH-0500,18
364380,MP-2100,70,29,N,TG-0900,41
364397,MP-2100,70,50,Y,XX-0000,0
364427,DC-0500,70,50,Y,XX-0000,0
364433,MP-2100,70,50,Y,XX-0000,0
364451,DC-0500,71,52,N,ER-0500,19
364467,SJ-0300,74,27,N,JN-1800,47
364480,MK-1200,65,49,N,TB-2400,16
364493,MK-1200,68,47,N,JH-3700,21
364512,MK-1200,74,50,N,JH-3700,24
364526,MK-1200,72,49,N,JH-3700,23
364543,MK-1200,67,28,N,JH-3700,39
364608,NF-0300,63,45,N,AB-2600,18
364621,JC-0900,56,31,N,MA-1400,25
364646,JC-0900,57,41,N,MA-1400,16
364667,NF-0300,59,43,N,AB-2600,16
364688,JC-0900,60,35,N,MA-1400,25
364695,JC-0900,59,29,N,MA-1400,30
364701,JC-0900,70,50,Y,XX-0000,0
364736,NF-0300,57,37,N,AB-2600,20
364748,JC-0900,57,37,N,MA-1400,20
364768,OM-0100,73,29,N,QD-0100,44
364775,OM-0100,70,51,N,QD-0100,19
364830,DA-0300,67,42,N,JW-5300,25
364847,DA-0300,70,50,Y,XX-0000,0
364854,DA-0300,70,50,Y,XX-0000,0
364865,DA-0300,70,43,N,JW-5300,27
364887,DA-0300,71,43,N,JF-2800,28
364903,DA-0300,59,36,N,JF-2800,23
364916,DA-0300,66,46,N,JW-5300,20
364931,SG-0800,70,46,N,PG-0100,24
364956,AV-0400,71,37,N,EH-0800,34
364970,SG-0800,75,55,Y,XX-0000,0
364990,SG-0800,69,52,N,PG-0100,17
364998,AV-0400,66,42,N,EH-0800,24
365016,SG-0800,66,27,N,PG-0100,39
365027,AV-0400,64,50,N,EH-0800,14
365043,SG-0800,65,52,N,PG-0100,13
365052,AV-0400,75,51,N,EH-0800,24
365070,JR-1100,11,11,N,XX-0000,0
365075,SS-3100,58,40,N,MM-4800,18
365083,SS-3100,65,47,N,MM-4800,18
365129,JR-1100,65,48,N,RC-0800,17
365151,JR-1100,50,38,N,RC-0800,12
365153,SS-3100,66,42,N,MM-4800,24
365163,JR-1100,64,45,N,RC-0800,19
365191,JR-1100,64,37,N,RC-0800,27
365231,PD-0200,63,32,N,ER-0500,31
365251,MP-2100,66,29,N,JC-5600,37
365259,PD-0200,73,46,N,ER-0500,27
365277,PD-0200,69,55,N,ER-0500,14
365285,PD-0200,54,47,N,PH-0500,7
365297,MP-2100,70,50,Y,XX-0000,0
365306,PD-0200,70,50,Y,XX-0000,0
365315,MP-2100,70,50,Y,XX-0000,0
365326,PD-0200,53,42,N,PH-0500,11
365337,MP-2100,75,41,N,JC-5600,34
365353,MP-2100,63,20,N,JC-5600,43
365366,MP-2100,58,48,N,JC-5600,10
365377,PD-0200,70,50,Y,XX-0000,0
365392,MP-2100,48,37,N,JC-5600,11
365399,JS-1100,71,49,N,BM-2100,22
365407,JS-1100,70,44,N,BM-2100,26
365427,JH-0900,75,55,Y,XX-0000,0
365437,JS-1100,74,54,Y,XX-0000,0
365452,JS-1100,73,39,N,BM-2100,34
365471,JS-1100,69,53,N,BM-2100,16
365474,JH-0900,63,53,N,TW-3200,10
365494,JS-1100,67,51,N,BM-2100,16
365510,JS-1100,75,55,Y,XX-0000,0
365532,JH-0900,11,11,N,XX-0000,0
365546,RG-1500,56,35,N,CC-0700,21
365566,RG-1500,70,50,Y,XX-0000,0
365603,RB-2200,58,36,N,DH-2700,22
365630,RB-2200,61,45,N,DH-2700,16
365642,RB-2200,73,53,N,DH-2700,20
365680,RB-2200,71,30,N,DH-2700,41
365701,RG-1500,67,42,N,CC-0700,25
365717,SG-0800,70,50,Y,XX-0000,0
365730,SG-0800,65,43,N,LM-1100,22
365758,SG-0800,67,30,N,XX-0000,0
365770,RL-0900,70,50,Y,XX-0000,0
365790,RL-0900,66,53,N,EH-0800,13
365804,SG-0800,63,32,N,LM-1100,31
365856,SG-0800,69,-16,N,LM-1100,85
365859,RL-0900,7,7,N,XX-0000,0
365863,MK-1200,72,46,N,CR-1200,26
365880,MK-1200,67,47,N,CR-1200,20
365894,GH-0600,70,50,Y,XX-0000,0
365907,MK-1200,67,47,N,CR-1200,20
365915,GH-0600,67,49,N,JN-1800,18
365928,MK-1200,70,50,Y,XX-0000,0
365943,GH-0600,69,14,N,JN-1800,55
365967,MK-1200,74,33,N,CR-1200,41
365978,MK-1200,70,50,Y,XX-0000,0
365995,GH-0600,25,25,N,XX-0000,0
366025,MK-1200,59,39,N,CR-1200,20
366034,JB-7100,70,50,Y,XX-0000,0
366045,JF-0900,70,50,Y,XX-0000,0
366055,JF-0900,63,43,N,DS-3700,20
366062,JF-0900,68,57,N,JW-0200,11
366081,JF-0900,59,48,N,DS-3700,11
366094,JF-0900,70,50,Y,XX-0000,0
366103,JF-0900,61,41,N,DS-3700,20
366112,JF-0900,62,39,N,DS-3700,23
366116,JF-0900,68,46,N,DS-3700,22
366128,JB-7100,69,46,N,LW-0500,23
366154,JF-0900,66,42,N,DS-3700,24
366175,OM-0100,70,50,N,TG-0900,20
366188,DC-0500,67,51,N,JW-5000,16
366208,DC-0500,76,56,Y,XX-0000,0
366225,OM-0100,71,34,N,TG-0900,37
366259,DC-0500,70,20,N,JW-5000,50
366269,OM-0100,70,50,Y,XX-0000,0
366286,OM-0100,66,35,N,TG-0900,31
366315,DC-0500,57,25,N,JF-2800,32
366323,OM-0100,70,50,Y,XX-0000,0
366337,RL-1300,70,56,N,JN-0900,14
366352,RL-1300,66,45,N,WB-0700,21
366365,MC-3000,66,49,N,MH-2500,17
366381,RL-1300,63,50,N,WB-0700,13
366385,MC-3000,60,41,N,CG-1500,19
366416,MC-3000,53,31,N,AA-1100,22
366424,MC-3000,65,47,N,MH-2500,18
366434,RL-1300,67,53,N,JN-0900,14
366450,MC-3000,76,56,Y,XX-0000,0
366457,MC-3000,79,59,Y,XX-0000,0
366488,MC-3000,59,39,N,NT-0100,20
366497,RL-1300,60,29,N,WB-0700,31
366504,SH-0400,68,50,N,RM-4400,18
366527,SH-0400,69,37,N,RM-4400,32
366559,KB-2300,74,54,Y,XX-0000,0
366568,MT-2300,62,43,N,YF-0100,19
366576,SH-0400,72,52,N,RM-4400,20
366584,KB-2300,72,45,N,YF-0100,27
366598,SH-0400,67,44,N,RM-4400,23
366613,KB-2300,68,48,N,YF-0100,20
366627,SH-0400,73,55,N,RM-4400,18
366646,SH-0400,72,57,N,RM-4400,15
366652,SH-0400,77,57,Y,XX-0000,0
366666,RL-1000,72,55,N,JH-3700,17
366672,RL-1000,61,49,N,JH-3700,12
366737,RL-1000,67,43,N,JH-3700,24
366753,SJ-0300,78,58,Y,XX-0000,0
366759,SJ-0300,75,55,Y,XX-0000,0
366778,SJ-0300,70,11,N,MJ-2100,59
366830,RL-1000,66,47,N,JH-3700,19
366842,CB-0700,70,50,Y,XX-0000,0
366869,CB-0700,70,50,Y,XX-0000,0
366880,NK-0200,71,35,N,KR-1000,36
366896,NK-0200,75,53,N,KR-1000,22
366905,CB-0700,50,24,N,AC-2400,26
366916,NK-0200,66,45,N,KR-1000,21
366944,NK-0200,71,45,N,KR-1000,26
366971,NK-0200,70,50,Y,XX-0000,0
366998,CB-0700,8,8,N,XX-0000,0
367000,AV-0400,64,47,N,GR-0600,17
367012,JR-1100,60,47,N,PG-0100,13
367018,AV-0400,64,41,N,GR-0600,23
367043,JR-1100,66,48,N,PG-0100,18
367068,JR-1100,65,40,N,PG-0100,25
367090,AV-0400,39,36,N,MS-3400,3
367092,JR-1100,59,44,N,PG-0100,15
367105,AV-0400,69,30,N,GR-0600,39
367137,JR-1100,58,44,N,PG-0100,14
367150,AV-0400,67,43,N,GR-0600,24
367165,DA-0300,72,48,N,AB-2600,24
367172,DA-0300,70,50,Y,XX-0000,0
367184,LT-1100,65,45,N,QD-0100,20
367189,LT-1100,63,35,N,QD-0100,28
367205,LT-1100,63,23,N,QD-0100,40
367232,DA-0300,60,39,N,DW-0900,21
367244,LT-1100,67,42,N,QD-0100,25
367254,LT-1100,67,30,N,QD-0100,37
367262,DA-0300,54,43,N,AB-2600,11
367278,LT-1100,67,49,N,QD-0100,18
