PID,PUNTER,PGRO,PNET,PTB,PR,PRY,PFC
4876,LJ-1000,25,20,N,DW-0800,5,N
4893,DS-4900,34,34,N,ED-0100,0,Y
4914,DS-4900,43,43,N,JH-4400,0,N
4923,KW-0200,29,29,N,WO-0200,0,Y
4950,DS-4900,48,43,N,MB-1000,5,N
4968,KW-0200,-13,-19,N,XX-0000,0,N
4980,KW-0200,49,49,N,WO-0200,0,N
4993,DS-4900,45,45,N,MB-1000,0,Y
4999,KW-0200,34,34,N,XX-0000,0,N
5006,DS-4900,49,29,Y,XX-0000,0,N
5011,KW-0200,35,35,N,WO-0200,0,N
5015,DS-4900,38,38,N,XX-0000,0,N
5054,BB-1100,26,26,N,TB-0400,0,Y
5064,BM-0700,22,22,N,XX-0000,0,N
5089,BB-1100,47,39,N,TB-0400,8,N
5120,BB-1100,43,43,N,XX-0000,0,N
5129,BM-0700,57,47,N,GM-1100,10,N
5133,BB-1100,37,37,N,XX-0000,0,N
5145,BB-1100,52,40,N,TB-0400,12,N
5160,BB-1100,48,42,N,TB-0400,6,N
5164,BM-0700,45,35,N,GM-1100,10,N
5171,BB-1100,50,30,Y,XX-0000,0,N
5183,BM-0700,38,18,Y,XX-0000,0,N
5209,JM-4700,49,44,N,DN-1400,5,N
5239,CG-0300,52,42,N,BS-1700,10,N
5249,JM-4700,35,35,N,XX-0000,0,N
5254,CG-0300,45,32,N,HP-0100,13,N
5267,CG-0300,48,41,N,BS-1700,7,N
5301,CG-0300,49,19,N,HP-0100,30,N
5305,JM-4700,34,34,N,XX-0000,0,N
5328,JM-4700,37,37,N,XX-0000,0,N
5363,MR-2100,48,48,N,XX-0000,0,N
5367,JJ-2300,54,12,N,KW-1100,42,N
5380,JJ-2300,13,13,N,XX-0000,0,N
5405,MR-2100,32,32,N,DH-4200,0,Y
5409,JJ-2300,35,35,N,KW-1100,0,Y
5428,JJ-2300,-16,-16,N,XX-0000,0,N
5470,JJ-2300,41,41,N,KW-1100,0,N
5474,MR-2100,42,42,N,DH-4200,0,Y
5499,MR-2100,35,18,N,DH-4200,17,N
5513,JB-3500,48,45,N,BM-3300,3,N
5523,SL-0100,49,49,N,AR-1700,0,N
5542,SL-0100,50,30,Y,XX-0000,0,N
5554,SL-0100,41,41,N,AR-1700,0,Y
5558,JB-3500,48,36,N,BM-3300,12,N
5576,JB-3500,49,49,N,BM-3300,0,Y
5596,SL-0100,42,32,N,AR-1700,10,N
5615,SL-0100,55,48,N,AR-1700,7,N
5620,JB-3500,46,34,N,BM-3300,12,N
5624,SL-0100,41,41,N,XX-0000,0,N
5637,SL-0100,42,42,N,AR-1700,0,N
5644,SL-0100,38,38,N,XX-0000,0,N
5648,JB-3500,33,30,N,BM-3300,3,N
5652,SL-0100,60,40,Y,XX-0000,0,N
5670,BB-0800,61,54,N,CY-0100,7,N
5675,DP-1700,54,42,N,RB-1100,12,N
5696,DP-1700,37,37,N,RB-1100,0,Y
5707,BB-0800,37,25,N,CY-0100,12,N
5734,DP-1700,45,45,N,XX-0000,0,N
5739,BB-0800,43,27,N,CY-0100,16,N
5752,DP-1700,34,34,N,RB-1100,0,Y
5756,BB-0800,35,31,N,CY-0100,4,N
5785,DP-1700,35,24,N,RB-1100,11,N
5789,BB-0800,39,34,N,CY-0100,5,N
5793,DP-1700,39,22,N,RB-1100,17,N
5799,BB-0800,31,31,N,XX-0000,0,N
5811,DP-1700,50,30,Y,XX-0000,0,N
5815,BB-0800,50,40,N,CY-0100,10,N
5841,DB-1500,60,43,N,LP-0100,17,N
5857,TS-0500,46,44,N,NJ-0200,2,N
5862,DB-1500,56,48,N,LP-0100,8,N
