PID,FGXP,FKICKER,DIST,GOOD
10964,XP,JC-0900,20,Y
10973,XP,JW-3300,20,Y
10978,XP,JC-0900,20,Y
10997,XP,AD-0800,20,Y
11031,XP,AD-0800,20,Y
11046,XP,AD-0800,20,Y
11062,FG,AD-0800,46,N
11085,XP,JH-5000,20,Y
11101,XP,AD-0800,20,Y
11120,XP,JH-5000,20,Y
11181,XP,MG-1200,20,Y
11221,XP,MH-3900,20,Y
11251,FG,MH-3900,28,Y
11274,FG,MG-1200,40,N
11296,XP,MH-3900,20,Y
11305,XP,MG-1200,20,Y
11311,FG,MH-3900,35,N
11317,FG,MG-1200,42,Y
11330,FG,MH-3900,20,Y
11340,FG,DA-0300,39,Y
11408,FG,DA-0300,38,Y
11441,XP,MA-0700,20,Y
11450,FG,DA-0300,19,Y
11465,XP,DA-0300,20,Y
11472,FG,MA-0700,48,Y
11474,XP,DA-0300,20,Y
11492,XP,DA-0300,20,Y
11509,FG,PS-0900,37,N
11531,XP,RL-0900,20,Y
11552,XP,PS-0900,20,Y
11567,XP,RL-0900,20,Y
11596,FG,RL-0900,27,Y
11610,XP,PS-0900,20,Y
11626,FG,PS-0900,27,Y
11646,XP,PS-0900,20,Y
11693,XP,PD-0200,20,Y
11700,XP,PD-0200,20,Y
11707,XP,CB-1700,20,Y
11734,FG,CB-1700,36,Y
11742,FG,PD-0200,42,N
11759,FG,CB-1700,47,Y
11774,XP,CB-1700,20,Y
11784,XP,PD-0200,20,Y
11807,FG,CB-1700,28,Y
11835,XP,JH-5000,20,Y
11853,FG,JH-5000,34,Y
11877,FG,MA-0700,42,Y
11884,FG,MA-0700,45,N
11893,FG,JH-5000,27,Y
11906,FG,MA-0700,28,Y
12003,XP,JN-0600,20,Y
12023,XP,JN-0600,20,Y
12046,FG,JN-0600,44,Y
12061,FG,JN-0600,42,Y
12087,FG,JN-0600,22,Y
12097,FG,RL-0900,42,Y
12111,FG,JN-0600,29,Y
12122,FG,JN-0600,34,N
12150,XP,PE-0100,20,Y
12163,FG,PE-0100,30,N
12178,XP,DB-3900,20,Y
12194,XP,DB-3900,20,Y
12209,FG,DB-3900,44,Y
12255,XP,DB-3900,20,Y
12265,FG,PE-0100,38,Y
12278,XP,DB-3900,20,Y
12321,FG,AD-0800,22,Y
12348,XP,NR-0100,20,Y
12364,XP,AD-0800,20,Y
12373,FG,NR-0100,35,N
12376,XP,NR-0100,20,Y
12400,XP,AD-0800,20,Y
12414,FG,AD-0800,41,Y
12439,FG,AD-0800,33,N
12454,FG,AD-0800,34,Y
12464,FG,NR-0100,46,N
12473,FG,JH-0900,30,Y
12481,XP,JH-0900,20,Y
12504,FG,RL-1300,44,Y
12518,XP,JH-0900,20,Y
12540,XP,JH-0900,20,Y
12547,FG,RL-1300,51,Y
12566,FG,RL-1300,31,Y
12574,XP,JH-0900,20,Y
12605,XP,RL-1300,20,Y
12639,FG,OM-0100,30,Y
12655,FG,SC-0700,45,Y
12680,FG,OM-0100,33,Y
12693,XP,OM-0100,20,Y
12748,FG,SC-0700,23,Y
12758,XP,SC-0700,20,Y
12767,XP,OM-0100,20,Y
12797,FG,AV-0400,21,Y
12837,XP,MV-0100,20,Y
12858,FG,MV-0100,33,Y
12861,XP,AV-0400,20,Y
12885,FG,MV-0100,33,Y
12898,XP,AV-0400,20,Y
12919,XP,AV-0400,20,Y
12956,FG,MV-0100,34,Y
12994,FG,KB-2300,43,Y
13009,FG,JH-0500,29,N
13024,XP,KB-2300,20,Y
13034,FG,JH-0500,40,Y
13076,XP,KB-2300,20,Y
13096,FG,KB-2300,29,Y
13116,XP,MH-3900,20,Y
13153,FG,MH-3900,33,N
13178,XP,DA-0300,20,Y
13211,FG,MH-3900,42,N
13225,XP,DA-0300,20,Y
13236,XP,MH-3900,20,Y
13267,FG,MH-3900,24,Y
13285,XP,JE-0200,20,Y
13334,FG,JC-0900,34,N
13349,XP,JC-0900,20,Y
13381,XP,JE-0200,20,Y
13437,XP,JE-0200,20,Y
13453,FG,SJ-0300,23,Y
13499,FG,SJ-0300,35,Y
13513,XP,WR-0500,20,Y
13539,XP,WR-0500,20,Y
13566,XP,SJ-0300,20,Y
13581,XP,SJ-0300,20,Y
13592,XP,WR-0500,20,Y
13600,XP,WR-0500,20,Y
13610,FG,SJ-0300,41,N
13632,FG,SJ-0300,35,N
13642,FG,WR-0500,29,N
13668,FG,SL-0600,49,Y
13686,FG,MS-5200,47,Y
13708,FG,SL-0600,31,N
13736,FG,MS-5200,32,Y
13745,FG,MS-5200,43,Y
13783,FG,MS-5200,21,Y
13797,FG,MS-5200,24,Y
13811,XP,SL-0600,20,Y
13832,XP,GA-0300,20,Y
13856,XP,MG-1200,20,Y
13868,FG,GA-0300,37,Y
13873,XP,GA-0300,20,Y
13895,FG,MG-1200,23,Y
13903,FG,MG-1200,53,N
13913,FG,GA-0300,42,Y
