PID,TYPE,BC,PSR,TRG,CONV
157414,PASS,XX-0000,DM-2200,CL-0900,N
158253,RUSH,CP-2100,XX-0000,XX-0000,Y
159866,PASS,XX-0000,TG-1600,DH-0600,N
160166,PASS,XX-0000,BF-0100,BF-1100,Y
161627,RUSH,SM-2400,XX-0000,XX-0000,Y
161655,PASS,XX-0000,SM-2400,DM-0500,N
161928,PASS,XX-0000,TC-2600,QM-0500,N
163385,RUSH,CT-0100,XX-0000,XX-0000,N
163555,PASS,XX-0000,DB-3800,DB-3100,Y
164032,RUSH,RH-2600,XX-0000,XX-0000,Y
164096,PASS,XX-0000,DB-2600,BS-1700,N
164708,PASS,XX-0000,TG-1600,EK-0300,N
164869,PASS,XX-0000,CP-0900,KL-1100,N
165047,PASS,XX-0000,BJ-1400,KW-1100,Y
165057,PASS,XX-0000,BJ-1400,CL-0600,N
166307,PASS,XX-0000,JG-0600,BL-1200,Y
167754,PASS,XX-0000,JM-2900,ES-1000,N
167763,RUSH,JM-2900,XX-0000,XX-0000,N
168055,PASS,XX-0000,TC-2600,DN-1400,N
168840,PASS,XX-0000,CP-0900,AB-1100,N
170632,PASS,XX-0000,MB-4800,DL-1900,Y
171459,PASS,XX-0000,JD-1400,MM-5500,N
171475,PASS,XX-0000,JD-1400,KD-1900,N
171489,RUSH,KF-0200,XX-0000,XX-0000,Y
173246,PASS,XX-0000,RG-0200,AW-1000,Y
173423,PASS,XX-0000,TR-0100,BL-1200,N
173542,RUSH,MF-0300,XX-0000,XX-0000,Y
174180,PASS,XX-0000,JM-2900,ES-1000,N
174520,PASS,XX-0000,BR-1100,PB-1000,N
174816,PASS,XX-0000,DC-0700,JG-0100,N
176909,PASS,XX-0000,XX-0000,XX-0000,N
177234,PASS,XX-0000,JH-1700,TS-3400,N
177554,RUSH,JW-1900,XX-0000,XX-0000,Y
177903,PASS,XX-0000,RG-2300,JG-0200,N
178373,PASS,XX-0000,AB-2900,BW-1850,N
178404,PASS,XX-0000,MB-4800,KC-2700,Y
178550,PASS,XX-0000,SM-2400,DM-0500,N
